"id","round","game_date","venue_id","home_team_id","away_team_id","season_year","afltables_game_id","home_score_str","away_score_str","home_score_goals","home_score_behinds","home_score_total","away_score_goals","away_score_behinds","away_score_total","margin","home_result","away_result"
13457,"R15","2010-07-10",14,20065,20986,2010,13693,"15.10.100","11.15.81",15,10,100,11,15,81,19,"W","L"
13458,"R15","2010-07-10",2,5,20709,2010,13694,"10.5.65","11.13.79",10,5,65,11,13,79,14,"L","W"
13459,"R15","2010-07-11",1,19882,20525,2010,13695,"12.13.85","7.13.55",12,13,85,7,13,55,30,"W","L"
13460,"R15","2010-07-11",4,19881,20434,2010,13696,"19.8.122","14.19.103",19,8,122,14,19,103,19,"W","L"
13461,"R15","2010-07-11",14,19974,20802,2010,13697,"8.10.58","20.6.126",8,10,58,20,6,126,68,"L","W"
13462,"R16","2010-07-16",1323,20617,20710,2010,13698,"11.8.74","9.9.63",11,8,74,9,9,63,11,"W","L"
13463,"R16","2010-07-17",4,20158,20709,2010,13699,"15.10.100","6.16.52",15,10,100,6,16,52,48,"W","L"
13464,"R16","2010-07-17",68,20433,5,2010,13700,"17.16.118","7.1.43",17,16,118,7,1,43,75,"W","L"
13491,"R19","2010-08-08",14,20709,20893,2010,13727,"23.13.151","8.9.57",23,13,151,8,9,57,94,"W","L"
13492,"R19","2010-08-08",4,19881,20065,2010,13728,"16.13.109","11.14.80",16,13,109,11,14,80,29,"W","L"
13526,"RGF","2010-09-25",4,20158,20709,2010,13762,"16.12.108","7.10.52",16,12,108,7,10,52,56,"W","L"
13493,"R19","2010-08-08",1323,20617,20802,2010,13729,"7.11.53","8.13.61",7,11,53,8,13,61,8,"L","W"
13494,"R20","2010-08-13",4,20434,20158,2010,13730,"10.4.64","24.18.162",10,4,64,24,18,162,98,"L","W"
13495,"R20","2010-08-14",4,19974,20065,2010,13731,"23.18.156","10.7.67",23,18,156,10,7,67,89,"W","L"
13496,"R20","2010-08-14",1325,20986,19882,2010,13732,"13.9.87","14.12.96",13,9,87,14,12,96,9,"L","W"
13497,"R20","2010-08-14",14,20802,20710,2010,13733,"9.6.60","25.11.161",9,6,60,25,11,161,101,"L","W"
13498,"R20","2010-08-14",1323,20893,20894,2010,13734,"8.13.61","8.12.60",8,13,61,8,12,60,1,"W","L"
13499,"R20","2010-08-15",2,5,20617,2010,13735,"13.19.97","15.14.104",13,19,97,15,14,104,7,"L","W"
13500,"R20","2010-08-15",4,20433,19881,2010,13736,"15.9.99","12.6.78",15,9,99,12,6,78,21,"W","L"
13501,"R20","2010-08-15",14,20525,20709,2010,13737,"9.9.63","17.13.115",9,9,63,17,13,115,52,"L","W"
13502,"R21","2010-08-20",14,20710,19974,2010,13738,"18.13.121","12.7.79",18,13,121,12,7,79,42,"W","L"
13503,"R21","2010-08-21",68,20433,20986,2010,13739,"24.11.155","5.9.39",24,11,155,5,9,39,116,"W","L"
13504,"R21","2010-08-21",14,20709,20065,2010,13740,"17.13.115","14.10.94",17,13,115,14,10,94,21,"W","L"
13505,"R21","2010-08-21",4,20158,20617,2010,13741,"6.18.54","7.9.51",6,18,54,7,9,51,3,"W","L"
13506,"R21","2010-08-21",1,19882,20802,2010,13742,"17.12.114","10.10.70",17,12,114,10,10,70,44,"W","L"
13507,"R21","2010-08-22",1323,20893,19881,2010,13743,"17.10.112","11.17.83",17,10,112,11,17,83,29,"W","L"
13508,"R21","2010-08-22",14,20434,5,2010,13744,"10.8.68","14.11.95",10,8,68,14,11,95,27,"L","W"
13383,"R6","2010-05-01",14,20525,19881,2010,13619,"15.14.104","12.6.78",15,14,104,12,6,78,26,"W","L"
13343,"R1","2010-03-26",4,20710,20434,2010,13579,"19.11.125","13.16.94",19,11,125,13,16,94,31,"W","L"
13344,"R1","2010-03-27",4,19881,20433,2010,13580,"8.13.61","17.15.117",8,13,61,17,15,117,56,"L","W"
13345,"R1","2010-03-27",1321,19882,20709,2010,13581,"13.10.88","15.6.96",13,10,88,15,6,96,8,"L","W"
13346,"R1","2010-03-27",2,5,20894,2010,13582,"16.18.114","12.10.82",16,18,114,12,10,82,32,"W","L"
13347,"R1","2010-03-28",1323,20893,20525,2010,13583,"13.18.96","12.10.82",13,18,96,12,10,82,14,"W","L"
13348,"R1","2010-03-28",14,20802,20158,2010,13584,"13.15.93","19.15.129",13,15,93,19,15,129,36,"L","W"
13349,"R1","2010-03-28",1325,20986,20617,2010,13585,"17.16.118","9.8.62",17,16,118,9,8,62,56,"W","L"
13350,"R2","2010-04-01",2,5,19974,2010,13586,"16.11.107","12.16.88",16,11,107,12,16,88,19,"W","L"
13351,"R2","2010-04-03",4,20158,19881,2010,13587,"12.14.86","12.13.85",12,14,86,12,13,85,1,"W","L"
13352,"R2","2010-04-03",14,20709,20525,2010,13588,"23.5.143","6.3.39",23,5,143,6,3,39,104,"W","L"
13353,"R2","2010-04-03",1325,20894,20893,2010,13589,"12.14.86","13.11.89",12,14,86,13,11,89,3,"L","W"
13354,"R2","2010-04-04",1323,20617,19882,2010,13590,"11.9.75","18.10.118",11,9,75,18,10,118,43,"L","W"
13355,"R2","2010-04-04",14,20434,20986,2010,13591,"9.15.69","17.11.113",9,15,69,17,11,113,44,"L","W"
13356,"R2","2010-04-04",4,20065,20802,2010,13592,"7.6.48","17.18.120",7,6,48,17,18,120,72,"L","W"
13357,"R2","2010-04-05",4,20433,20710,2010,13593,"13.13.91","14.16.100",13,13,91,14,16,100,9,"L","W"
13384,"R6","2010-05-01",1323,20617,20893,2010,13620,"10.14.74","14.13.97",10,14,74,14,13,97,23,"L","W"
13385,"R6","2010-05-01",4,20434,20433,2010,13621,"15.16.106","9.9.63",15,16,106,9,9,63,43,"W","L"
13386,"R6","2010-05-01",1,19882,5,2010,13622,"16.11.107","13.9.87",16,11,107,13,9,87,20,"W","L"
13387,"R6","2010-05-02",7,20710,20065,2010,13623,"24.17.161","7.11.53",24,17,161,7,11,53,108,"W","L"
13388,"R6","2010-05-02",4,19974,20158,2010,13624,"16.6.102","24.11.155",16,6,102,24,11,155,53,"L","W"
13389,"R6","2010-05-02",1325,20894,20986,2010,13625,"10.13.73","17.9.111",10,13,73,17,9,111,38,"L","W"
13390,"R7","2010-05-07",4,19881,20802,2010,13626,"9.12.66","10.10.70",9,12,66,10,10,70,4,"L","W"
13391,"R7","2010-05-08",14,20434,20893,2010,13627,"16.10.106","17.7.109",16,10,106,17,7,109,3,"L","W"
13418,"R10","2010-05-29",2,5,20158,2010,13654,"13.10.88","11.14.80",13,10,88,11,14,80,8,"W","L"
13419,"R10","2010-05-30",4,20433,19882,2010,13655,"10.19.79","11.11.77",10,19,79,11,11,77,2,"W","L"
13420,"R10","2010-05-30",14,19974,20894,2010,13656,"15.15.105","11.10.76",15,15,105,11,10,76,29,"W","L"
13421,"R10","2010-05-30",1325,20986,20525,2010,13657,"21.13.139","11.12.78",21,13,139,11,12,78,61,"W","L"
13422,"R11","2010-06-04",14,20065,20709,2010,13658,"8.11.59","14.13.97",8,11,59,14,13,97,38,"L","W"
13423,"R11","2010-06-05",4,19974,19881,2010,13659,"15.11.101","9.6.60",15,11,101,9,6,60,41,"W","L"
13424,"R11","2010-06-05",1323,20617,20986,2010,13660,"16.9.105","12.10.82",16,9,105,12,10,82,23,"W","L"
13425,"R11","2010-06-05",14,20525,5,2010,13661,"12.18.90","13.11.89",12,18,90,13,11,89,1,"W","L"
13426,"R11","2010-06-05",1325,20894,20710,2010,13662,"14.14.98","18.14.122",14,14,98,18,14,122,24,"L","W"
13427,"R11","2010-06-06",1,19882,20434,2010,13663,"12.17.89","12.8.80",12,17,89,12,8,80,9,"W","L"
13428,"R11","2010-06-06",4,20433,20893,2010,13664,"10.14.74","8.15.63",10,14,74,8,15,63,11,"W","L"
13429,"R11","2010-06-06",14,20158,20802,2010,13665,"17.11.113","16.7.103",17,11,113,16,7,103,10,"W","L"
